id,lens,metric_space,n_cubes,overlap,eps,min_samples,n_nodes,n_edges,n_components,n_loops,avg_degree,max_degree,density,avg_node_size,max_node_size,size_entropy,collapse_ratio,score,var_mgAF_dia_total,var_mgAF_suple_1T,var_mgAF_saf,var_total_AF_mg,var_dias_saf,var_pn_hijo,var_eg_hijo,var_edad_madre,var_imc_antes,var_dif_imc,var_hijo_problema,var_consume_suple,bio_score
15995,eg_hijo,all_mixed,12,0.5,2.5,5,11,7,4,0,1.27,3,0.1273,56.1,207,1.76,0.294,0.3,4.9333,4.8787,4.9438,260302.7017,7522.7377,12266.3159,0.1092,1.0839,2.1402,0.2812,0.0014,0.1488,0.3182763556477519
14073,imc_antes,cont_std,8,0.3,5.0,2,15,9,6,0,1.2,3,0.0857,65.0,493,1.334,0.699,0.3,4.9742,4.9222,4.2921,153930.3378,5646.2155,34689.8481,0.6411,6.247,76.166,2.5426,0.0062,0.0016,0.2915442523816819
21288,densidad,all_mixed,8,0.4,3.5,2,19,11,8,0,1.16,6,0.0643,55.7,557,1.054,0.79,0.3,3.1273,3.0597,4.1097,212256.3147,4997.1809,83761.398,1.4381,6.0839,86.8138,4.7625,0.0136,0.0007,0.2611311490879438
12813,mgAF_saf,all_mixed,16,0.3,5.0,2,10,5,5,0,1.0,2,0.1111,102.6,332,1.48,0.471,0.3,1.9838,2.0143,2.1156,48128.8286,788.6495,44103.2243,0.2008,13.9738,3.8666,0.2164,0.0032,0.0092,0.11678663878092078
12647,mgAF_saf,all_mixed,8,0.4,2.5,5,7,0,7,0,0.0,0,0.0,47.4,178,1.424,0.252,0.2999,5.3152,5.275,5.4475,194182.8903,5783.2709,12641.4503,0.0555,1.1646,0.9787,0.2176,0.0003,0.1224,0.30599818745312846
12110,mgAF_saf,cont_std,16,0.4,3.5,5,8,2,6,0,0.5,2,0.0714,105.5,291,1.596,0.413,0.2999,3.7833,3.8315,4.0702,179738.5141,6318.8855,4079.6363,0.1813,2.2573,1.8731,0.1821,0.0021,0.0738,0.23944253140333638
21973,excentricidad,cont_rob,8,0.2,3.5,3,13,8,5,0,1.23,4,0.1026,55.7,426,1.385,0.604,0.2999,5.1146,5.1284,5.0609,313511.6846,5330.8586,42932.7047,0.3619,6.5328,9.3124,1.757,0.0292,0.0085,0.39274350944848274
2636,pca_2d,cont_rob,12,0.3,2.0,5,8,4,4,0,1.0,2,0.1429,17.0,49,1.693,0.07,0.2998,3.6414,3.5396,3.7522,157662.6514,3388.0,28349.8834,0.1719,1.923,4.4015,0.1294,0.0053,0.0,0.2289407836779729
19491,dias_saf,cont_std,8,0.4,5.0,2,13,4,9,0,0.62,3,0.0513,56.8,413,1.349,0.586,0.2997,6.0626,6.0437,4.7302,314144.5173,9968.4625,69296.8982,1.4466,1.9176,49.4078,1.671,0.0117,0.1291,0.4234025364483995
3806,pca_full_2d,cont_rob,16,0.3,2.0,5,5,3,3,1,1.2,2,0.3,16.0,46,1.254,0.065,0.2997,4.136,4.1381,3.842,231611.7612,4956.16,2316.8435,0.3031,5.6045,0.9037,0.0867,0.0015,0.0,0.27458588464177186
