variable,tipo,n_nulos,pct_nulos,significado_nulos,accion
pasta_ug_af_dia,numerica,22,2.6,no_aplica_si_no_consumo_pastas,Se mantiene NaN (faltante semántico: no aplica)
nombre_pan,categorica,18,2.1,no_aplica_si_no_consumo_pan,Se mantiene NaN (faltante semántico: no aplica)
taza_pasta_con_af,categorica,16,1.9,no_aplica_si_no_consumo_pastas,Se mantiene NaN (faltante semántico: no aplica)
aporte_mg_af_unidad_pan,numerica,15,1.8,no_aplica_si_no_consumo_pan,Se mantiene NaN (faltante semántico: no aplica)
codigo_pan,numerica,15,1.8,no_aplica_si_no_consumo_pan,Se mantiene NaN (faltante semántico: no aplica)
gr_pan_dia,numerica,15,1.8,no_aplica_si_no_consumo_pan,Se mantiene NaN (faltante semántico: no aplica)
pan_mg_af_dia,numerica,15,1.8,no_aplica_si_no_consumo_pan,Se mantiene NaN (faltante semántico: no aplica)
unidad_pan_dia,categorica,15,1.8,no_aplica_si_no_consumo_pan,Se mantiene NaN (faltante semántico: no aplica)
delta_peso_gestacional,numerica,10,1.2,faltante_real_o_por_confirmar,Imputación mediana (10.00) + indicador
delta_peso_gestacional_c,categorica,10,1.2,faltante_real_o_por_confirmar,Se mantiene NaN (categoría codificada numérica)
imc_termino_c,categorica,10,1.2,faltante_real_o_por_confirmar,Se mantiene NaN (categoría codificada numérica)
delta_imc,numerica,9,1.1,faltante_real_o_por_confirmar,Imputación mediana (3.86) + indicador
evito_consumo_alimentos_c,categorica,9,1.1,faltante_real_o_por_confirmar,Se mantiene NaN (categoría codificada numérica)
imc_pregestacional_c,categorica,8,0.9,faltante_real_o_por_confirmar,Se mantiene NaN (categoría codificada numérica)
categoria_imc_pregestacional,categorica,7,0.8,faltante_real_o_por_confirmar,Relleno con 'No reportado'
eg_rn_c,categorica,7,0.8,faltante_real_o_por_confirmar,Se mantiene NaN (categoría codificada numérica)
imc_pregestacional,numerica,7,0.8,faltante_real_o_por_confirmar,Imputación mediana (25.53) + indicador
eg_rn,numerica,4,0.5,faltante_real_o_por_confirmar,Imputación mediana (38.57) + indicador
imc_postparto,numerica,4,0.5,faltante_real_o_por_confirmar,Imputación mediana (30.06) + indicador
peso_postparto,numerica,4,0.5,faltante_real_o_por_confirmar,Imputación mediana (79.00) + indicador
talla_materna,numerica,4,0.5,faltante_real_o_por_confirmar,Imputación mediana (160.00) + indicador
condicion_o_exposiscion_materna,categorica,3,0.4,faltante_real_o_por_confirmar,Relleno con 'No reportado'
nivel_educacional_c,categorica,3,0.4,faltante_real_o_por_confirmar,Se mantiene NaN (categoría codificada numérica)
pandemia_c,categorica,3,0.4,faltante_real_o_por_confirmar,Se mantiene NaN (categoría codificada numérica)
pandemia_label,categorica,3,0.4,faltante_real_o_por_confirmar,Relleno con 'No reportado'
primipara_c,categorica,3,0.4,faltante_real_o_por_confirmar,Se mantiene NaN (categoría codificada numérica)
sexo_rn_c,categorica,3,0.4,faltante_real_o_por_confirmar,Se mantiene NaN (categoría codificada numérica)
edad_madre,numerica,2,0.2,faltante_real_o_por_confirmar,Imputación mediana (34.00) + indicador
peso_pregestacional,numerica,2,0.2,faltante_real_o_por_confirmar,Imputación mediana (67.00) + indicador
peso_rn,numerica,2,0.2,faltante_real_o_por_confirmar,Imputación mediana (3322.00) + indicador
condicion_materna_c,categorica,1,0.1,faltante_real_o_por_confirmar,Se mantiene NaN (categoría codificada numérica)
consumo_maf,categorica,1,0.1,faltante_real_o_por_confirmar,Se mantiene NaN (categoría codificada numérica)
consumo_osaf,categorica,1,0.1,faltante_real_o_por_confirmar,Se mantiene NaN (categoría codificada numérica)
consumo_pan_c,categorica,1,0.1,faltante_real_o_por_confirmar,Se mantiene NaN (categoría codificada numérica)
consumo_pastas_con_af,categorica,1,0.1,faltante_real_o_por_confirmar,Se mantiene NaN (categoría codificada numérica)
consumo_saf,categorica,1,0.1,faltante_real_o_por_confirmar,Se mantiene NaN (categoría codificada numérica)
nacionalidad_c,categorica,1,0.1,faltante_real_o_por_confirmar,Se mantiene NaN (categoría codificada numérica)
peso_rn_c,categorica,1,0.1,faltante_real_o_por_confirmar,Se mantiene NaN (categoría codificada numérica)
problema_salud_rn_c,categorica,1,0.1,faltante_real_o_por_confirmar,Se mantiene NaN (categoría codificada numérica)
region_c,categorica,1,0.1,faltante_real_o_por_confirmar,Se mantiene NaN (categoría codificada numérica)
