nombre_variable,tipo_python,tipo_analitico,n_validos,n_nulos,pct_nulos,valores_unicos,ejemplo_valores,descripcion,significado_nulos,tipo_nulo
periodo_consumo_saf,str,categórica / texto,724,129,15.1,9,"Antes del embarazo, 1-3 meses de embarazo (los 3 primeros meses de embarazo), An",Por confirmar,no_aplica_si_no_consumo_saf,no_aplica
periodo_consumo_saf_c,float64,numérica,727,126,14.8,9,"3.0, 4.0, 5.0",Por confirmar,no_aplica_si_no_consumo_saf,no_aplica
evito_consumo_alimentos_c,float64,numérica,844,9,1.1,5,"1.0, 3.0, 4.0",Por confirmar,faltante_real_o_por_confirmar,faltante
consumo_pan_c,float64,numérica,853,0,0.0,5,"1.0, 0.0, 847.0",Por confirmar,faltante_real_o_por_confirmar,faltante
nombre_pan,str,categórica / texto,835,18,2.1,45,"Marraqueta - Pan Batido - Pan Francés, Pan de molde integral, Todas las anterior",Por confirmar,no_aplica_si_no_consumo_pan,no_aplica
codigo_pan,float64,numérica,838,15,1.8,17,"1.0, 4.0, 14.0",Por confirmar,no_aplica_si_no_consumo_pan,no_aplica
gr_pan_dia,float64,numérica,838,15,1.8,43,"168.0, 55.0, 84.0",Por confirmar,no_aplica_si_no_consumo_pan,no_aplica
aporte_mg_af_unidad_pan,float64,numérica,838,15,1.8,12,"0.13, 0.05, 0.1",Por confirmar,no_aplica_si_no_consumo_pan,no_aplica
unidad_pan_dia,float64,numérica,838,15,1.8,9,"2.0, 1.0, 0.5",Por confirmar,no_aplica_si_no_consumo_pan,no_aplica
pan_mg_af_dia,float64,numérica,838,15,1.8,33,"0.26, 0.05, 0.13",Por confirmar,no_aplica_si_no_consumo_pan,no_aplica
total_af_aporte_saf_osaf_maf_pan,float64,numérica,818,35,4.1,246,"5.26, 1.0, 0.8500000000000001",Por confirmar,faltante_real_o_por_confirmar,faltante
consumo_pastas_con_af,float64,numérica,853,0,0.0,5,"1.0, 0.0, 847.0",Por confirmar,faltante_real_o_por_confirmar,faltante
taza_pasta_con_af,str,categórica / texto,837,16,1.9,11,"2, 146.5, 1",Por confirmar,no_aplica_si_no_consumo_pastas,no_aplica
gramos_pasta_semanal,float64,numérica,831,22,2.6,9,"293.0, 20.928571428571427, 146.5",Por confirmar,no_aplica_si_no_consumo_pastas,no_aplica
gramos_pasta_dia,float64,numérica,831,22,2.6,9,"41.857142857142854, 0.016114999999999997, 20.928571428571427",Por confirmar,no_aplica_si_no_consumo_pastas,no_aplica
pasta_ug_af_dia,float64,numérica,831,22,2.6,15,"0.032229999999999995, 5.466115, 0.016114999999999997",Por confirmar,no_aplica_si_no_consumo_pastas,no_aplica
total_af_aporte_pasta_pan_saf_osaf_maf,float64,numérica,815,38,4.5,494,"5.29223, 1.0, 0.8822300000000001",Por confirmar,faltante_real_o_por_confirmar,faltante
consumo_saf_no_aplica,int64,categórica (binaria),853,0,0.0,2,"0, 1",Por confirmar,faltante_real_o_por_confirmar,faltante
consumo_osaf_no_aplica,int64,categórica (binaria),853,0,0.0,2,"1, 0",Por confirmar,faltante_real_o_por_confirmar,faltante
consumo_maf_no_aplica,int64,categórica (binaria),853,0,0.0,2,"1, 0",Por confirmar,faltante_real_o_por_confirmar,faltante
consumo_sin_no_aplica,int64,categórica (binaria),853,0,0.0,1,0,Por confirmar,faltante_real_o_por_confirmar,faltante
consumo_pan_c_no_aplica,int64,categórica (binaria),853,0,0.0,2,"0, 1",Por confirmar,faltante_real_o_por_confirmar,faltante
consumo_pastas_con_af_no_aplica,int64,categórica (binaria),853,0,0.0,2,"0, 1",Por confirmar,faltante_real_o_por_confirmar,faltante
problema_salud_rn_c_no_aplica,int64,categórica (binaria),853,0,0.0,2,"1, 0",Por confirmar,faltante_real_o_por_confirmar,faltante
