mapper,nodo,n,af_mean,trap_score_mean,pct_over_ul,pct_folate_trap,pct_b12_supp,pct_b12_diet_risk,pct_saf_5mg,pct_saf_1mg,pct_osaf_hierro,pct_anomalo,pct_evito_animal,pct_evito_gluten,pn_mean,eg_mean,pct_patologia,pct_pat_severa,pct_pat_crecim,imc_mean
D,cube4_cluster0,27,2603.296296296296,2.159222222222222,81.48148148148148,77.77777777777779,3.7037037037037033,0.0,37.03703703703704,48.148148148148145,3.7037037037037033,0.0,0.0,0.0,3454.4074074074074,38.77777777777778,0.0,0.0,0.0,26.206296296296294
D,cube24_cluster0,15,2632.0,2.1333333333333333,93.33333333333333,93.33333333333333,0.0,0.0,33.33333333333333,40.0,13.333333333333334,0.0,0.0,0.0,3130.0,38.266666666666666,0.0,0.0,0.0,26.18933333333333
D,cube8_cluster0,12,1521.6666666666667,2.125,75.0,75.0,0.0,100.0,16.666666666666664,58.333333333333336,0.0,0.0,100.0,0.0,3332.4166666666665,38.916666666666664,0.0,0.0,0.0,26.36916666666667
D,cube32_cluster0,50,2699.62,2.115936,84.0,40.0,50.0,100.0,34.0,46.0,4.0,0.0,100.0,0.0,3374.62,38.58,0.0,0.0,0.0,26.8974
D,cube37_cluster0,18,1801.6666666666667,2.0,83.33333333333334,83.33333333333334,0.0,100.0,16.666666666666664,66.66666666666666,11.11111111111111,0.0,100.0,0.0,3301.1666666666665,38.94444444444444,0.0,0.0,0.0,24.115555555555556
D,cube6_cluster0,66,2287.742424242424,1.9935,81.81818181818183,81.81818181818183,0.0,0.0,30.303030303030305,50.0,3.0303030303030303,0.0,0.0,0.0,3349.6969696969695,38.56060606060606,0.0,0.0,0.0,27.3
D,cube19_cluster1,3,1999.0,1.9523333333333335,33.33333333333333,33.33333333333333,0.0,0.0,33.33333333333333,33.33333333333333,0.0,0.0,0.0,0.0,2296.6666666666665,36.666666666666664,0.0,0.0,0.0,21.426666666666666
D,cube3_cluster0,72,2300.5555555555557,1.876183333333333,79.16666666666666,75.0,8.333333333333332,0.0,31.944444444444443,47.22222222222222,2.7777777777777777,0.0,0.0,0.0,3358.6805555555557,38.541666666666664,0.0,0.0,0.0,27.280416666666667
D,cube26_cluster0,68,2719.8088235294117,1.8072036764705883,85.29411764705883,36.76470588235294,55.88235294117647,48.529411764705884,35.294117647058826,45.588235294117645,2.941176470588235,0.0,48.529411764705884,4.411764705882353,3340.985294117647,38.35294117647059,0.0,0.0,0.0,26.44029411764706
D,cube30_cluster0,49,2125.877551020408,1.801734693877551,83.6734693877551,83.6734693877551,0.0,0.0,24.489795918367346,65.3061224489796,4.081632653061225,0.0,0.0,0.0,3455.1020408163267,38.59183673469388,0.0,0.0,0.0,27.280408163265307
D,cube23_cluster0,54,2130.8888888888887,1.801574074074074,85.18518518518519,85.18518518518519,0.0,0.0,24.074074074074073,66.66666666666666,5.555555555555555,0.0,0.0,0.0,3420.240740740741,38.5,0.0,0.0,0.0,27.135555555555555
D,cube7_cluster0,44,2113.0227272727275,1.7343863636363637,81.81818181818183,79.54545454545455,2.272727272727273,0.0,25.0,61.36363636363637,2.272727272727273,0.0,0.0,2.272727272727273,3438.3863636363635,38.63636363636363,0.0,0.0,0.0,26.791590909090914
D,cube31_cluster0,16,1791.875,1.6513218749999998,68.75,50.0,18.75,100.0,18.75,43.75,0.0,0.0,100.0,0.0,3487.1875,38.6875,0.0,0.0,0.0,25.150625
D,cube36_cluster0,12,1711.0833333333333,1.642875,83.33333333333334,83.33333333333334,0.0,100.0,8.333333333333332,75.0,16.666666666666664,0.0,100.0,0.0,3125.9166666666665,38.75,0.0,0.0,0.0,24.491666666666664
D,cube13_cluster0,79,2692.6708860759495,1.5783911392405066,73.41772151898735,20.253164556962027,79.74683544303798,59.49367088607595,34.177215189873415,34.177215189873415,5.063291139240507,0.0,59.49367088607595,0.0,3255.4430379746836,38.36708860759494,0.0,0.0,0.0,25.00898734177215
D,cube35_cluster0,26,1890.4615384615386,1.5604615384615386,76.92307692307693,76.92307692307693,0.0,0.0,23.076923076923077,61.53846153846154,11.538461538461538,0.0,0.0,0.0,3306.8846153846152,38.80769230769231,0.0,0.0,0.0,25.506153846153843
D,cube29_cluster0,26,1890.4615384615386,1.5604615384615386,76.92307692307693,76.92307692307693,0.0,0.0,23.076923076923077,61.53846153846154,11.538461538461538,0.0,0.0,0.0,3306.8846153846152,38.80769230769231,0.0,0.0,0.0,25.506153846153843
D,cube20_cluster0,32,2716.4375,1.506046875,71.875,15.625,84.375,100.0,34.375,34.375,6.25,0.0,100.0,0.0,3307.75,38.46875,0.0,0.0,0.0,24.3834375
D,cube27_cluster0,44,2598.8863636363635,1.3363636363636362,75.0,29.545454545454547,59.09090909090909,0.0,36.36363636363637,40.909090909090914,0.0,0.0,0.0,9.090909090909092,3329.9772727272725,38.52272727272727,0.0,0.0,0.0,24.685227272727275
D,cube18_cluster0,63,2604.84126984127,1.2863857142857142,77.77777777777779,33.33333333333333,55.55555555555556,0.0,33.33333333333333,42.857142857142854,3.1746031746031744,0.0,0.0,4.761904761904762,3324.3968253968255,38.38095238095238,0.0,0.0,0.0,24.31793650793651
D,cube25_cluster0,32,2619.625,1.2678500000000001,87.5,46.875,46.875,0.0,28.125,40.625,9.375,0.0,0.0,0.0,3267.3125,38.375,0.0,0.0,0.0,26.17125
D,cube11_cluster0,51,2301.1372549019607,1.0812176470588235,76.47058823529412,43.13725490196079,43.13725490196079,0.0,25.49019607843137,54.90196078431373,5.88235294117647,0.0,0.0,1.9607843137254901,3207.9607843137255,38.1764705882353,0.0,0.0,0.0,24.04313725490196
