mapper_1,nodo_g1,mapper_2,nodo_g2,jaccard,n_inter
A,cube4_cluster0,D,cube19_cluster0,0.08333333333333333,5
A,cube5_cluster1,D,cube30_cluster0,0.08196721311475409,5
A,cube0_cluster1,D,cube26_cluster0,0.08032128514056225,20
A,cube4_cluster0,D,cube22_cluster0,0.08,4
A,cube5_cluster0,D,cube22_cluster0,0.08,4
A,cube4_cluster0,D,cube15_cluster0,0.08,4
A,cube5_cluster0,D,cube15_cluster0,0.08,4
A,cube0_cluster0,D,cube9_cluster0,0.078125,5
A,cube0_cluster1,D,cube12_cluster0,0.07623318385650224,17
A,cube0_cluster2,D,cube8_cluster0,0.075,3
A,cube1_cluster1,D,cube2_cluster0,0.07407407407407407,4
A,cube5_cluster0,D,cube27_cluster0,0.07317073170731707,6
A,cube4_cluster0,D,cube27_cluster0,0.07317073170731707,6
A,cube4_cluster0,D,cube24_cluster0,0.07272727272727272,4
A,cube5_cluster0,D,cube24_cluster0,0.07272727272727272,4
A,cube1_cluster1,D,cube12_cluster0,0.07246376811594203,5
A,cube7_cluster0,D,cube20_cluster0,0.07142857142857142,3
A,cube0_cluster2,D,cube7_cluster0,0.07142857142857142,5
A,cube0_cluster4,D,cube22_cluster0,0.07142857142857142,1
A,cube0_cluster4,D,cube15_cluster0,0.07142857142857142,1
A,cube7_cluster0,D,cube13_cluster0,0.06976744186046512,6
A,cube7_cluster0,D,cube37_cluster0,0.06896551724137931,2
A,cube0_cluster0,D,cube27_cluster0,0.06666666666666667,5
A,cube2_cluster1,D,cube21_cluster0,0.06666666666666667,1
A,cube1_cluster0,D,cube18_cluster0,0.06666666666666667,13
A,cube1_cluster2,D,cube7_cluster0,0.06578947368421052,5
A,cube0_cluster1,D,cube27_cluster0,0.06521739130434782,15
A,cube0_cluster3,D,cube7_cluster0,0.06493506493506493,5
A,cube5_cluster1,D,cube6_cluster0,0.0641025641025641,5
A,cube0_cluster1,D,cube25_cluster0,0.0639269406392694,14
A,cube1_cluster1,D,cube25_cluster0,0.06349206349206349,4
A,cube4_cluster1,D,cube6_cluster0,0.06329113924050633,5
A,cube4_cluster0,D,cube35_cluster0,0.06060606060606061,4
A,cube5_cluster0,D,cube29_cluster0,0.06060606060606061,4
A,cube5_cluster0,D,cube35_cluster0,0.06060606060606061,4
A,cube4_cluster0,D,cube29_cluster0,0.06060606060606061,4
A,cube4_cluster0,D,cube16_cluster0,0.06,3
A,cube2_cluster0,D,cube32_cluster0,0.06,3
A,cube5_cluster0,D,cube16_cluster0,0.06,3
A,cube5_cluster1,D,cube3_cluster0,0.05952380952380952,5
